"place","date","lfs_event","protocols_used"
"Sydney",2006-11-20,1,"Johnston2011"
"Sydney",2006-11-21,1,"Johnston2011"
"Sydney",2006-11-22,1,"Johnston2011"
"Sydney",2006-11-23,1,"Johnston2011"
"Sydney",2006-11-24,1,"Johnston2011"
"Sydney",2006-11-25,1,"Johnston2011"
"Sydney",2006-11-26,1,"Johnston2011"
"Sydney",2006-11-27,1,"Johnston2011"
"Sydney",2006-11-28,1,"Johnston2011"
"Sydney",2006-11-29,1,"Johnston2011"
"Sydney",2006-11-30,1,"Johnston2011"
"Sydney",2006-12-01,1,"Johnston2011"
"Sydney",2006-12-02,1,"Johnston2011"
"Sydney",2006-12-03,1,"Johnston2011"
"Sydney",2006-12-04,1,"Johnston2011"
"Sydney",2006-12-05,1,"Johnston2011"
"Sydney",2006-12-06,1,"Johnston2011"
"Sydney",2006-12-07,1,"Johnston2011"
"Sydney",2006-12-08,1,"Johnston2011"
"Sydney",2006-12-09,1,"Johnston2011"
"Sydney",2006-12-10,1,"Johnston2011"
"Sydney",2006-12-11,1,"Johnston2011"
"Sydney",2006-12-12,1,"Johnston2011"
"Sydney",2006-12-13,1,"Johnston2011"
"Sydney",2006-12-14,1,"Johnston2011"
"Sydney",2006-12-15,1,"Johnston2011"
"Sydney",2006-12-16,1,"Johnston2011"
"Sydney",2006-12-17,1,"Johnston2011"
"Sydney",2006-12-18,1,"Johnston2011"
"Sydney",2006-12-19,1,"Johnston2011"
"Sydney",2006-12-20,1,"Johnston2011"
"Sydney",2006-12-21,1,"Johnston2011"
"Sydney",2006-12-22,1,"Johnston2011"
"Sydney",2006-12-23,1,"Johnston2011"
"Sydney",2006-12-24,1,"Johnston2011"
"Sydney",2006-12-25,1,"Johnston2011"
"Sydney",2006-12-26,1,"Johnston2011"
"Sydney",2006-12-27,1,"Johnston2011"
"Sydney",2006-12-28,1,"Johnston2011"
"Sydney",2006-12-29,1,"Johnston2011"
"Sydney",2006-12-30,1,"Johnston2011"
"Sydney",2006-12-31,1,"Johnston2011"
"Sydney",2007-01-01,1,"Johnston2011"
"Sydney",2007-01-02,1,"Johnston2011"
"Sydney",2007-01-03,1,"Johnston2011"
"Sydney",2007-01-07,1,"Johnston2011"
"Sydney",2007-01-08,1,"Johnston2011"
"Sydney",2007-01-10,1,"Johnston2011"
"Sydney",2007-01-11,1,"Johnston2011"
"Sydney",2007-01-12,1,"Johnston2011"
"Sydney",2007-01-20,1,"Johnston2011"
"Sydney",2007-01-21,1,"Johnston2011"
"Sydney",2007-01-22,1,"Johnston2011"
"Sydney",2007-01-23,1,"Johnston2011"
"Sydney",2007-01-28,1,"Johnston2011"
"Sydney",2007-05-07,1,"Johnston2011"
"Sydney",2007-05-08,1,"Johnston2011"
"Sydney",2007-10-01,1,"Johnston2011"
"Sydney",2007-10-02,1,"Johnston2011"
"Sydney",2007-10-03,1,"Johnston2011"
"Sydney",2007-10-04,1,"Johnston2011"
"Sydney",2007-10-05,1,"Johnston2011"
"Sydney",2007-10-06,1,"Johnston2011"
"Sydney",2007-10-15,1,"Johnston2011"
"Sydney",2007-10-16,1,"Johnston2011"
"Sydney",2007-10-20,1,"Johnston2011"
"Sydney",2007-10-21,1,"Johnston2011"
"Sydney",2008-05-10,1,"Salimi2016"
"Sydney",2008-09-21,1,"Johnston2011"
"Sydney",2008-10-03,1,"Salimi2016"
"Sydney",2008-11-14,1,"Johnston2011"
"Sydney",2008-12-31,1,"Johnston2011"
"Sydney",2009-01-04,1,"Johnston2011"
"Sydney",2009-01-05,1,"Johnston2011"
"Sydney",2009-01-06,1,"Johnston2011, Salimi2016"
"Sydney",2009-01-07,1,"Johnston2011"
"Sydney",2009-01-14,1,"Johnston2011"
"Sydney",2009-01-15,1,"Johnston2011, Salimi2016"
"Sydney",2009-01-16,1,"Johnston2011"
"Sydney",2009-01-20,1,"Johnston2011"
"Sydney",2009-01-21,1,"Johnston2011"
"Sydney",2009-01-24,1,"Johnston2011"
"Sydney",2009-01-25,1,"Johnston2011"
"Sydney",2009-02-06,1,"Johnston2011, Salimi2016"
"Sydney",2009-02-07,1,"Johnston2011, Salimi2016"
"Sydney",2009-02-08,1,"Johnston2011"
"Sydney",2009-02-09,1,"Johnston2011"
"Sydney",2009-03-05,1,"Johnston2011"
"Sydney",2009-03-06,1,"Johnston2011"
"Sydney",2009-04-17,1,"Salimi2016"
"Sydney",2009-05-07,1,"Salimi2016"
"Sydney",2009-05-08,1,"Salimi2016"
"Sydney",2009-09-03,1,"Salimi2016"
"Sydney",2009-09-12,1,"Salimi2016"
"Sydney",2009-09-14,1,"Salimi2016"
"Sydney",2009-09-15,1,"Salimi2016"
"Sydney",2009-09-16,1,"Salimi2016"
"Sydney",2009-09-20,1,"Salimi2016"
"Sydney",2009-10-01,1,"Salimi2016"
"Sydney",2009-10-02,1,"Salimi2016"
"Sydney",2009-11-16,1,"Salimi2016"
"Sydney",2009-11-20,1,"Salimi2016"
"Sydney",2009-11-22,1,"Salimi2016"
"Sydney",2010-01-23,1,"Salimi2016"
"Sydney",2010-03-20,1,"Salimi2016"
"Sydney",2010-03-21,1,"Salimi2016"
"Sydney",2010-03-24,1,"Salimi2016"
"Sydney",2010-03-26,1,"Salimi2016"
"Sydney",2010-03-27,1,"Salimi2016"
"Sydney",2010-03-28,1,"Salimi2016"
"Sydney",2010-11-27,1,"Salimi2016"
"Sydney",2011-05-19,1,"Salimi2016"
"Sydney",2011-05-20,1,"Salimi2016"
"Sydney",2011-05-21,1,"Salimi2016"
"Sydney",2011-09-20,1,"Salimi2016"
"Sydney",2011-09-22,1,"Salimi2016"
"Sydney",2011-10-22,1,"Salimi2016"
"Sydney",2011-10-23,1,"Salimi2016"
"Sydney",2011-11-15,1,"Salimi2016"
"Sydney",2012-08-29,1,"Salimi2016"
"Sydney",2012-08-30,1,"Salimi2016"
"Sydney",2012-09-04,1,"Salimi2016"
"Sydney",2012-09-10,1,"Salimi2016"
"Sydney",2012-09-11,1,"Salimi2016"
"Sydney",2012-09-12,1,"Salimi2016"
"Sydney",2012-11-22,1,"Salimi2016"
"Sydney",2013-01-01,1,"Salimi2016"
"Sydney",2013-01-09,1,"Salimi2016"
"Sydney",2013-01-12,1,"Salimi2016"
"Sydney",2013-01-18,1,"Salimi2016"
"Sydney",2013-04-28,1,"Salimi2016"
"Sydney",2013-05-11,1,"Salimi2016"
"Sydney",2013-08-25,1,"Salimi2016"
"Sydney",2013-09-01,1,"Salimi2016"
"Sydney",2013-09-02,1,"Salimi2016"
